2020-06-08 20:34:32,839 INFO [root] [__init__.py(<module>:8)] - Test日志会不会打印！！！
2020-06-08 20:34:33,234 INFO [root] [test_emp_params.py(test01_login_success:26)] - 登录结果为:{'success': True, 'code': 10000, 'message': '操作成功！', 'data': '18437bc0-e217-4b86-bbec-5f52a81fdce1'}
2020-06-08 20:34:33,234 INFO [root] [test_emp_params.py(test01_login_success:31)] - 保存到全局变量中的请求头为:{'Content-Type': 'application/json', 'Authorization': 'Bearer 18437bc0-e217-4b86-bbec-5f52a81fdce1'}
2020-06-08 20:34:33,331 INFO [root] [test_emp_params.py(test02_add_emp_success:40)] - 添加员工得结果为:{'success': True, 'code': 10000, 'message': '操作成功！', 'data': {'id': '1269971170317303808'}}
2020-06-08 20:34:33,332 INFO [root] [test_emp_params.py(test02_add_emp_success:42)] - 保存到全局变量的员工ID为:1269971170317303808
2020-06-08 20:34:33,438 INFO [root] [test_emp_params.py(test03_query_emp_success:48)] - 查询员工得信息为:{'success': True, 'code': 10000, 'message': '操作成功！', 'data': {'id': '1269971170317303808', 'mobile': '19645872235', 'username': '老实人', 'password': '922139e07b943f4cc3f7f442dbf06bb9', 'enableState': 1, 'createTime': None, 'companyId': '1', 'companyName': '传智播客', 'departmentId': '1063678149528784896', 'timeOfEntry': '2020-05-05T00:00:00.000+0000', 'formOfEmployment': 1, 'workNumber': None, 'formOfManagement': None, 'workingCity': None, 'correctionTime': '2020-05-30T16:00:00.000+0000', 'inServiceStatus': None, 'departmentName': '测试部', 'roleIds': [], 'staffPhoto': None}}
2020-06-08 20:34:33,531 INFO [root] [test_emp_params.py(test04_modify_emp_success:55)] - 修改员工得信息为:{'success': True, 'code': 10000, 'message': '操作成功！', 'data': {'id': '1269971170317303808'}}
2020-06-08 20:34:33,627 INFO [root] [test_emp_params.py(test05_delete_emp_success:61)] - 删除员工得信息为:{'success': True, 'code': 10000, 'message': '操作成功！', 'data': None}
2020-06-08 20:34:33,717 INFO [root] [test_ihrm_employee.py(test01_login_success:23)] - 登录结果为:{'success': True, 'code': 10000, 'message': '操作成功！', 'data': '419c1ec4-98b4-4cf4-8d06-2af7f33a6a41'}
2020-06-08 20:34:33,717 INFO [root] [test_ihrm_employee.py(test01_login_success:28)] - 保存到全局变量中的请求头为:{'Content-Type': 'application/json', 'Authorization': 'Bearer 419c1ec4-98b4-4cf4-8d06-2af7f33a6a41'}
2020-06-08 20:34:33,807 INFO [root] [test_ihrm_employee.py(test02_add_emp_success:33)] - 添加员工得结果为:{'success': True, 'code': 10000, 'message': '操作成功！', 'data': {'id': '1269971172334764032'}}
2020-06-08 20:34:33,808 INFO [root] [test_ihrm_employee.py(test02_add_emp_success:35)] - 保存到全局变量的员工ID为:1269971172334764032
2020-06-08 20:34:33,897 INFO [root] [test_ihrm_employee.py(test03_query_emp_success:40)] - 查询员工得信息为:{'success': True, 'code': 10000, 'message': '操作成功！', 'data': {'id': '1269971172334764032', 'mobile': '13664785526', 'username': '肖肖小', 'password': 'c13cb5bb17005e17120abe89884b9402', 'enableState': 1, 'createTime': None, 'companyId': '1', 'companyName': '传智播客', 'departmentId': '1063678149528784896', 'timeOfEntry': '2020-05-05T00:00:00.000+0000', 'formOfEmployment': 1, 'workNumber': None, 'formOfManagement': None, 'workingCity': None, 'correctionTime': '2020-05-30T16:00:00.000+0000', 'inServiceStatus': None, 'departmentName': '测试部', 'roleIds': [], 'staffPhoto': None}}
2020-06-08 20:34:33,998 INFO [root] [test_ihrm_employee.py(test04_modify_emp_success:46)] - 修改员工得信息为:{'success': True, 'code': 10000, 'message': '操作成功！', 'data': {'id': '1269971172334764032'}}
2020-06-08 20:34:34,101 INFO [root] [test_ihrm_employee.py(test05_delete_emp_success:51)] - 删除员工得信息为:{'success': True, 'code': 10000, 'message': '操作成功！', 'data': None}
2020-06-08 20:34:34,199 INFO [root] [test_ihrm_login.py(test01_login_success:23)] - 登录成功的结果为:{'success': True, 'code': 10000, 'message': '操作成功！', 'data': '91346899-7310-4d6a-b1c5-5c297e40b6ce'}
2020-06-08 20:34:34,199 INFO [root] [test_ihrm_login.py(test01_login_success:23)] - 登录成功的结果为:{'success': True, 'code': 10000, 'message': '操作成功！', 'data': '91346899-7310-4d6a-b1c5-5c297e40b6ce'}
2020-06-08 20:34:34,292 INFO [root] [test_ihrm_login.py(test02_mobile_is_empty:37)] - 手机号码为空的结果为:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-06-08 20:34:34,292 INFO [root] [test_ihrm_login.py(test02_mobile_is_empty:37)] - 手机号码为空的结果为:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-06-08 20:34:34,292 INFO [root] [test_ihrm_login.py(test02_mobile_is_empty:37)] - 手机号码为空的结果为:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-06-08 20:34:34,385 INFO [root] [test_ihrm_login.py(test03_mobile_is_not_exists:45)] - 手机号码不存在的结果为:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-06-08 20:34:34,385 INFO [root] [test_ihrm_login.py(test03_mobile_is_not_exists:45)] - 手机号码不存在的结果为:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-06-08 20:34:34,385 INFO [root] [test_ihrm_login.py(test03_mobile_is_not_exists:45)] - 手机号码不存在的结果为:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-06-08 20:34:34,385 INFO [root] [test_ihrm_login.py(test03_mobile_is_not_exists:45)] - 手机号码不存在的结果为:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-06-08 20:34:34,477 INFO [root] [test_ihrm_login.py(test04_password_is_error:53)] - 密码错误的结果为:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-06-08 20:34:34,477 INFO [root] [test_ihrm_login.py(test04_password_is_error:53)] - 密码错误的结果为:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-06-08 20:34:34,477 INFO [root] [test_ihrm_login.py(test04_password_is_error:53)] - 密码错误的结果为:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-06-08 20:34:34,477 INFO [root] [test_ihrm_login.py(test04_password_is_error:53)] - 密码错误的结果为:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-06-08 20:34:34,477 INFO [root] [test_ihrm_login.py(test04_password_is_error:53)] - 密码错误的结果为:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-06-08 20:34:34,565 INFO [root] [test_ihrm_login.py(test05_params_is_none:61)] - 无参的结果为:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-06-08 20:34:34,565 INFO [root] [test_ihrm_login.py(test05_params_is_none:61)] - 无参的结果为:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
